SID,Run,Scheduled Onset(s),Actual Onset(s),Scheduled Onset(TR),Actual Onset(TR),Order,Section,Picture
20131104T121801,10,49.5,49.5115,24.75,24.7558,4,C,C4_1
20131104T121801,10,51.5,51.5113,25.75,25.7556,4,C,Fixation
20131104T121801,10,52,52.0112,26,26.0056,4,C,C4_2
20131104T121801,10,54,54.0124,27,27.0062,4,C,Fixation
20131104T121801,10,54.5,54.5121,27.25,27.2561,4,C,C4_3
20131104T121801,10,56.5,56.5109,28.25,28.2554,4,C,Fixation
20131104T121801,10,57,57.0107,28.5,28.5054,4,C,C4_4
20131104T121801,10,59,59.0106,29.5,29.5053,4,C,Fixation
20131104T121801,10,59.5,59.5104,29.75,29.7552,4,C,C4_5
20131104T121801,10,61.5,61.5112,30.75,30.7556,4,C,Fixation
20131104T121801,10,,73,,36.5,4,,End
20131104T121801,11,0,0.015143,0,0.0075716,9,A,A9_1
20131104T121801,11,2,2.0163,1,1.0081,9,A,Fixation
20131104T121801,11,2.5,2.515,1.25,1.2575,9,A,A9_2
20131104T121801,11,4.5,4.5147,2.25,2.2573,9,A,Fixation
20131104T121801,11,5,5.0155,2.5,2.5078,9,A,A9_3
20131104T121801,11,7,7.0144,3.5,3.5072,9,A,Fixation
20131104T121801,11,7.5,7.5144,3.75,3.7572,9,A,A9_4
20131104T121801,11,9.5,9.5142,4.75,4.7571,9,A,Fixation
20131104T121801,11,10,10.0141,5,5.007,9,A,A9_5
20131104T121801,11,12,12.014,6,6.007,9,A,Fixation
20131104T121801,11,27,27.0126,13.5,13.5063,9,B,B9_1
20131104T121801,11,29,29.0136,14.5,14.5068,9,B,Fixation
20131104T121801,11,29.5,29.5132,14.75,14.7566,9,B,B9_2
20131104T121801,11,31.5,31.5161,15.75,15.7581,9,B,Fixation
20131104T121801,11,32,32.0123,16,16.0061,9,B,B9_3
20131104T121801,11,34,34.0119,17,17.006,9,B,Fixation
20131104T121801,11,34.5,34.5118,17.25,17.2559,9,B,B9_4
20131104T121801,11,36.5,36.513,18.25,18.2565,9,B,Fixation
20131104T121801,11,37,37.0116,18.5,18.5058,9,B,B9_5
20131104T121801,11,39,39.0124,19.5,19.5062,9,B,Fixation
20131104T121801,11,56.5,56.511,28.25,28.2555,9,C,C9_1
20131104T121801,11,58.5,58.5097,29.25,29.2549,9,C,Fixation
20131104T121801,11,59,59.0096,29.5,29.5048,9,C,C9_2
20131104T121801,11,61,61.0095,30.5,30.5048,9,C,Fixation
20131104T121801,11,61.5,61.5095,30.75,30.7548,9,C,C9_3
20131104T121801,11,63.5,63.5093,31.75,31.7547,9,C,Fixation
20131104T121801,11,64,64.0092,32,32.0046,9,C,C9_4
20131104T121801,11,66,66.009,33,33.0045,9,C,Fixation
20131104T121801,11,66.5,66.509,33.25,33.2545,9,C,C9_5
20131104T121801,11,68.5,68.5098,34.25,34.2549,9,C,Fixation
20131104T121801,11,,76.0001,,38,9,,End
20131104T121801,12,0,0.019759,0,0.0098794,6,B,B6_1
20131104T121801,12,2,2.0027,1,1.0014,6,B,Fixation
20131104T121801,12,2.5,2.5026,1.25,1.2513,6,B,B6_2
20131104T121801,12,4.5,4.5025,2.25,2.2513,6,B,Fixation
20131104T121801,12,5,5.0025,2.5,2.5013,6,B,B6_3
20131104T121801,12,7,7.0032,3.5,3.5016,6,B,Fixation
20131104T121801,12,7.5,7.5031,3.75,3.7516,6,B,B6_4
20131104T121801,12,9.5,9.502,4.75,4.751,6,B,Fixation
20131104T121801,12,10,10.0021,5,5.001,6,B,B6_5
20131104T121801,12,12,12.0018,6,6.0009,6,B,Fixation
20131104T121801,12,17,17.0016,8.5,8.5008,6,A,A6_1
20131104T121801,12,19,19.0014,9.5,9.5007,6,A,Fixation
20131104T121801,12,19.5,19.5013,9.75,9.7506,6,A,A6_2
20131104T121801,12,21.5,21.5015,10.75,10.7507,6,A,Fixation
20131104T121801,12,22,22.0013,11,11.0006,6,A,A6_3
20131104T121801,12,24,24.0185,12,12.0092,6,A,Fixation
20131104T121801,12,24.5,24.5011,12.25,12.2506,6,A,A6_4
20131104T121801,12,26.5,26.5172,13.25,13.2586,6,A,Fixation
20131104T121801,12,27,27.0172,13.5,13.5086,6,A,A6_5
20131104T121801,12,29,29.0179,14.5,14.5089,6,A,Fixation
20131104T121801,12,40.5,40.5159,20.25,20.258,6,C,C6_1
20131104T121801,12,42.5,42.5158,21.25,21.2579,6,C,Fixation
20131104T121801,12,43,43.0157,21.5,21.5078,6,C,C6_2
20131104T121801,12,45,45.0155,22.5,22.5078,6,C,Fixation
20131104T121801,12,45.5,45.5168,22.75,22.7584,6,C,C6_3
20131104T121801,12,47.5,47.5162,23.75,23.7581,6,C,Fixation
20131104T121801,12,48,48.016,24,24.008,6,C,C6_4
20131104T121801,12,50,50.0159,25,25.0079,6,C,Fixation
20131104T121801,12,50.5,50.5151,25.25,25.2576,6,C,C6_5
20131104T121801,12,52.5,52.5159,26.25,26.2579,6,C,Fixation
20131104T121801,12,,60.5,,30.25,6,,End
